Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,32,1,1,0.00%,0.00%,2h 14m 53s,1h 13m 09s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,Yes,No,/email-marketing,,27,1,1,0.00%,0.00%,39m 51s,23m 15s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/services,27,1,1,0.00%,0.00%,52m 22s,2m 50s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,17,1,1,0.00%,0.00%,52m 22s,1s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/business-directory,15,3,1,0.00%,100.00%,21m 54s,,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/about-us,14,1,1,0.00%,0.00%,31m 04s,8m 53s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/services,14,1,1,0.00%,0.00%,2h 10m 49s,37m 43s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/client,13,1,1,0.00%,0.00%,1h 51m 04s,32m 01s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/testimonials,13,2,1,0.00%,0.00%,12m 29s,4m 07s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/,,11,1,1,0.00%,0.00%,57m 18s,32m 10s,1
2024-05-13,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,11,3,1,33.00%,100.00%,6m 01s,,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/business-directory,,10,2,1,0.00%,0.00%,32m 11s,22m 25s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/,10,1,1,0.00%,0.00%,30m 37s,23m 57s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/why-smp,https://schaumburgmarketplace.net/why-smp,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/clients,/,8,2,1,0.00%,0.00%,45m 45s,0m 60s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/offers,/events,7,1,1,0.00%,0.00%,2h 10m 49s,9m 28s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,No,No,/,/testimonials,7,2,1,0.00%,0.00%,12m 29s,5m 45s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/services,7,1,1,0.00%,100.00%,2h 10m 49s,,1
2024-05-20,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,7,3,1,33.00%,100.00%,32m 06s,,1
2024-06-03,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,NV,Las Vegas,89110,Desktop,Chrome,125.0.0.0,Windows,70.189.171.51,Yes,Yes,,,7,7,7,100.00%,100.00%,,,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,7,1,1,0.00%,0.00%,1h 51m 04s,11m 41s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/events,6,3,1,0.00%,0.00%,21m 54s,6s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/offers,6,1,1,0.00%,0.00%,2h 10m 49s,5m 18s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/clients,/clients,6,1,1,0.00%,0.00%,33m 16s,6m 49s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,Yes,No,/team,,6,1,1,0.00%,0.00%,33m 16s,1m 29s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,MD,Silver Spring,20902,Desktop,Chrome,125.0.0.0,Windows,69.143.114.229,No,No,/,/,6,1,1,0.00%,0.00%,1h 20m 51s,4m 25s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/,/offers,6,1,1,0.00%,0.00%,1h 46m 28s,3m 51s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Palatine,60074,Desktop,Chrome,124.0.0.0,Mac OS,75.22.141.46,Yes,No,/events,,5,1,1,0.00%,0.00%,4m 10s,4m 10s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/why-smp,https://schaumburgmarketplace.net/why-smp,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,Yes,,/disclaimer,5,1,1,0.00%,100.00%,58m 14s,,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/about-us,5,1,1,0.00%,0.00%,51m 58s,41s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/events,/,5,1,1,0.00%,0.00%,1h 46m 28s,12s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/services,5,1,1,0.00%,0.00%,2h 10m 49s,16m 48s,1
2024-05-30,New,No,Direct,Direct,https://schaumburgmarketplace.net/copy-of-services,_,_,_,_,_,_,/clients-1,https://schaumburgmarketplace.net/clients-1,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/offers,/about-us,5,1,1,0.00%,0.00%,47m 23s,1m 23s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,CA,Unknown,Unknown,Mobile,Chrome,117.0.0.0,Android,166.205.132.20,No,No,/events,/,5,1,1,0.00%,0.00%,16m 13s,39s,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,5,1,1,0.00%,0.00%,2h 14m 53s,2s,1
2024-05-10,Returning,No,Referral,manage.wix.com,https://manage.wix.com/,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,India,GJ,Ahmedabad,380008,Desktop,Chrome,124.0.0.0,Windows,103.238.107.94,No,No,/contact-us,/contact-us,5,1,1,0.00%,0.00%,30m 00s,3s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/,/,5,2,1,0.00%,0.00%,47m 56s,3m 24s,1
2024-05-10,Returning,No,Referral,manage.wix.com,https://manage.wix.com/,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,India,GJ,Ahmedabad,380008,Desktop,Chrome,124.0.0.0,Windows,103.238.107.94,No,No,/services,/services,5,1,1,0.00%,0.00%,30m 00s,3s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/events,5,1,1,0.00%,100.00%,17m 01s,,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,5,2,1,0.00%,0.00%,26m 38s,1m 48s,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/events,5,1,1,0.00%,0.00%,2h 14m 53s,6m 56s,1
2024-05-28,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/copy-of-services,/about-us,5,1,1,0.00%,0.00%,6m 13s,0m 60s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/about-us,,5,1,1,0.00%,0.00%,3m 28s,3m 27s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,5,1,1,0.00%,100.00%,12m 06s,,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,5,1,1,0.00%,0.00%,31m 04s,3m 00s,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,17.4.1,iOS,98.206.217.54,No,Yes,,/news-1,5,1,1,0.00%,100.00%,6m 41s,,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,MD,Silver Spring,20902,Desktop,Chrome,125.0.0.0,Windows,69.143.114.229,No,No,/,/,4,1,1,0.00%,0.00%,1h 20m 51s,18s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,Yes,No,/news-1,,4,2,1,0.00%,0.00%,15m 58s,1m 10s,1
2024-05-30,New,No,Direct,Direct,https://schaumburgmarketplace.net/copy-of-services,_,_,_,_,_,_,/clients,https://schaumburgmarketplace.net/clients,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/team,/team,4,1,1,0.00%,0.00%,47m 23s,7s,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/events,/general-4,4,1,1,0.00%,0.00%,51m 58s,1m 32s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Edge,125.0.0.0,Windows,98.206.217.54,Yes,No,/business-directory,,4,3,2,0.00%,0.00%,18m 35s,9m 33s,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/services,4,1,1,0.00%,0.00%,2h 14m 53s,3m 17s,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/home,https://schaumburgmarketplace.net/home,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/events,4,2,2,0.00%,0.00%,26m 49s,17s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/events,4,1,1,0.00%,0.00%,1h 51m 04s,54m 21s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/news-1,/events,4,1,1,0.00%,0.00%,31m 04s,11s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/about-us,4,1,1,0.00%,0.00%,1h 16m 24s,57m 22s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/testimonials,/about-us,4,1,1,0.00%,0.00%,21m 04s,1m 01s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/,4,1,1,0.00%,0.00%,31m 04s,4s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Palatine,60074,Desktop,Chrome,124.0.0.0,Mac OS,75.22.141.46,No,No,/about-us,/events,4,1,1,0.00%,0.00%,42m 54s,22s,1
2024-05-20,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/about-us,,4,1,1,0.00%,0.00%,33m 53s,32m 22s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,4,2,1,0.00%,0.00%,1h 07m 31s,5m 24s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/business-directory,/email-marketing,4,1,1,0.00%,0.00%,39m 51s,1m 34s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/business-directory,/events,4,1,1,0.00%,0.00%,31m 04s,5m 58s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/offers,/jobs,4,1,1,0.00%,0.00%,31m 04s,8s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/jobs,/business-directory,4,1,1,0.00%,0.00%,31m 04s,8s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/,4,3,1,0.00%,0.00%,12m 46s,1s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/clients,/about-us,3,1,1,0.00%,0.00%,1h 46m 28s,1m 17s,1
2024-05-09,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,3,2,1,100.00%,100.00%,3s,,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Bolingbrook,60440,Desktop,Chrome,125.0.0.0,Windows,104.12.224.14,No,No,/,/,3,2,1,0.00%,0.00%,5m 44s,2m 44s,1
2024-05-20,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Mac OS,98.206.217.54,Yes,Yes,,,3,3,1,100.00%,100.00%,,,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/offers,3,1,1,0.00%,100.00%,21m 04s,,1
2024-05-31,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/why-smp,https://schaumburgmarketplace.net/why-smp,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,Yes,,/about-us,3,1,1,0.00%,100.00%,1h 07m 22s,,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/offers,/services,3,3,1,0.00%,0.00%,12m 46s,4s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,MD,Silver Spring,20902,Desktop,Chrome,125.0.0.0,Windows,69.143.114.229,No,No,/,/,3,1,1,0.00%,0.00%,1h 20m 51s,1m 24s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,CA,Unknown,Unknown,Mobile,Chrome,117.0.0.0,Android,166.205.132.20,No,Yes,,/offers,3,1,1,0.00%,100.00%,16m 13s,,1
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,3,2,1,100.00%,100.00%,3s,,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/testimonials,https://schaumburgmarketplace.net/testimonials,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/faq,/clients,3,2,2,0.00%,0.00%,1h 09m 52s,5s,1
2024-05-21,New,No,Referral,editor.wix.com,https://editor.wix.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,India,GJ,Ahmedabad,380001,Desktop,Chrome,124.0.0.0,Windows,103.228.144.252,No,No,/,/,3,1,1,0.00%,0.00%,1m 40s,22s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/jobs,/email-marketing,3,2,1,0.00%,0.00%,20m 19s,16s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/about-us,3,1,1,0.00%,0.00%,1h 22m 14s,2m 31s,1
2024-05-10,Returning,No,Referral,manage.wix.com,https://manage.wix.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,India,GJ,Ahmedabad,380008,Desktop,Chrome,124.0.0.0,Windows,103.238.107.94,No,No,/services,/services,3,1,1,0.00%,0.00%,30m 00s,4m 14s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,MD,Silver Spring,20902,Desktop,Chrome,125.0.0.0,Windows,69.143.114.229,No,No,/events,/,3,1,1,0.00%,0.00%,1h 20m 51s,19s,1
2024-05-21,New,No,Referral,editor.wix.com,https://editor.wix.com/,_,_,_,_,_,_,/client,https://schaumburgmarketplace.net/client,India,GJ,Ahmedabad,382350,Desktop,Chrome,124.0.0.0,Windows,103.85.9.27,No,No,/,/,3,1,1,0.00%,0.00%,9m 04s,58s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60193,Desktop,Edge,125.0.0.0,Windows,98.206.217.54,No,No,/,/,3,1,1,0.00%,0.00%,32m 21s,11s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Palatine,60074,Desktop,Chrome,124.0.0.0,Mac OS,75.22.141.46,No,No,/events,/,3,1,1,0.00%,0.00%,42m 54s,17s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/contact-us,/contact-us,3,2,1,0.00%,0.00%,47m 56s,16s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/business-directory,/events,3,1,1,0.00%,0.00%,1h 46m 28s,14s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/,3,2,1,0.00%,0.00%,45m 05s,4s,1
2024-05-17,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,Yes,Yes,,,3,3,1,100.00%,100.00%,,,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/,/news-1,3,1,1,0.00%,0.00%,1h 46m 28s,23m 20s,1
2024-05-10,Returning,No,Referral,manage.wix.com,https://manage.wix.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,India,GJ,Ahmedabad,380008,Desktop,Chrome,124.0.0.0,Windows,103.238.107.94,No,No,/contact-us,/services,3,1,1,0.00%,0.00%,30m 00s,16s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/email-marketing,https://schaumburgmarketplace.net/email-marketing,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,Yes,,/business-directory,3,1,1,0.00%,100.00%,39m 51s,,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/,3,1,1,0.00%,100.00%,57m 18s,,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/why-smp,/clients,3,1,1,0.00%,0.00%,33m 16s,48s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/,/disclaimer,3,1,1,0.00%,0.00%,1h 46m 28s,5m 04s,1
